timestamp,edificio,zona,sensor_id,flujo,consumo_kwh,temperatura,presion,data_quality,quality_flag
01/01/2026 03/50,Edificio_1,Zona_A,S1,41.93,14.99,22.62,2.83,REAL,0
01/01/2026 04/00,Edificio_1,Zona_A,S1,43.35,17.07,23.23,3.05,REAL,0
01/01/2026 04/10,Edificio_1,Zona_A,S1,43.39,16.07,22.68,2.95,REAL,0
01/01/2026 04/20,Edificio_1,Zona_A,S1,43.16,16.14,22.8,2.75,REAL,0
01/01/2026 04/30,Edificio_1,Zona_A,S1,43.67,15.14,22.78,2.92,REAL,0
01/01/2026 04/40,Edificio_1,Zona_A,S1,44.12,15.97,22.53,2.81,REAL,0
01/01/2026 04/50,Edificio_1,Zona_A,S1,44.56,16.04,23.51,3.01,REAL,0
01/01/2026 05/00,Edificio_1,Zona_A,S1,46.42,14.98,23.28,2.91,REAL,0
01/01/2026 05/10,Edificio_1,Zona_A,S1,44.17,15.37,23.28,3.01,REAL,0
01/01/2026 05/20,Edificio_1,Zona_A,S1,46.25,16.23,23.54,2.84,REAL,0
01/01/2026 05/30,Edificio_1,Zona_A,S1,43.32,15.85,23.19,2.99,REAL,0
01/01/2026 05/40,Edificio_1,Zona_A,S1,43.63,15.59,22.92,2.87,REAL,0
01/01/2026 05/50,Edificio_1,Zona_A,S1,42.59,15.67,24.58,3,REAL,0
01/01/2026 06/00,Edificio_1,Zona_A,S1,43.35,15.95,23.84,2.98,REAL,0
01/01/2026 06/10,Edificio_1,Zona_A,S1,43.84,16.05,24.44,2.76,REAL,0
01/01/2026 06/20,Edificio_1,Zona_A,S1,44.48,15.68,23.13,2.95,REAL,0
01/01/2026 06/30,Edificio_1,Zona_A,S1,46.41,15,24.41,2.78,REAL,0
01/01/2026 06/40,Edificio_1,Zona_A,S1,44.07,15.73,23.76,2.84,REAL,0
01/01/2026 06/50,Edificio_1,Zona_A,S1,45.18,16.13,23.8,2.83,REAL,0
01/01/2026 07/00,Edificio_1,Zona_A,S1,44.09,15.97,23.89,2.96,REAL,0
01/01/2026 07/10,Edificio_1,Zona_A,S1,44.93,16.32,23.41,3.01,REAL,0
01/01/2026 07/20,Edificio_1,Zona_A,S1,44.43,15.85,23.86,2.87,REAL,0
01/01/2026 07/30,Edificio_1,Zona_A,S1,45.27,16.31,23.02,2.78,REAL,0
01/01/2026 07/40,Edificio_1,Zona_A,S1,45.08,15.84,23.56,2.83,REAL,0
01/01/2026 07/50,Edificio_1,Zona_A,S1,44.35,15.66,23.11,2.93,REAL,0
01/01/2026 08/00,Edificio_1,Zona_A,S1,42.89,15.61,22.5,2.76,REAL,0
01/01/2026 08/10,Edificio_1,Zona_A,S1,43.59,15.57,23.21,2.8,REAL,0
01/01/2026 08/20,Edificio_1,Zona_A,S1,43.5,15.91,23.48,3.05,REAL,0
01/01/2026 08/30,Edificio_1,Zona_A,S1,43.71,15.33,23.33,2.9,REAL,0
01/01/2026 08/40,Edificio_1,Zona_A,S1,44.48,15.8,24.3,2.82,REAL,0
01/01/2026 08/50,Edificio_1,Zona_A,S1,42.77,15.41,24.31,2.82,REAL,0
01/01/2026 09/00,Edificio_1,Zona_A,S1,43.77,15.11,22.91,3.09,REAL,0
01/01/2026 09/10,Edificio_1,Zona_A,S1,43.99,15.16,22.08,3.08,REAL,0
01/01/2026 09/20,Edificio_1,Zona_A,S1,41.22,15.09,22.69,3.03,REAL,0
01/01/2026 09/30,Edificio_1,Zona_A,S1,42.37,15.71,22.75,2.91,REAL,0
01/01/2026 09/40,Edificio_1,Zona_A,S1,41.28,16.03,23.1,2.79,REAL,0
01/01/2026 09/50,Edificio_1,Zona_A,S1,44.88,16.27,23.33,2.91,REAL,0
01/01/2026 10/00,Edificio_1,Zona_A,S1,40.81,15.32,22.44,3.04,REAL,0
01/01/2026 10/10,Edificio_1,Zona_A,S1,41.51,15.34,21.53,2.7,REAL,0
01/01/2026 10/20,Edificio_1,Zona_A,S1,42.16,14.96,21.27,2.9,REAL,0
01/01/2026 10/30,Edificio_1,Zona_A,S1,41.27,14.45,22.31,2.81,REAL,0
01/01/2026 10/40,Edificio_1,Zona_A,S1,41.67,14.46,21.86,2.82,REAL,0
01/01/2026 10/50,Edificio_1,Zona_A,S1,41.67,14.87,21.77,2.92,REAL,0
01/01/2026 11/00,Edificio_1,Zona_A,S1,39.06,15.18,21.26,2.67,REAL,0
01/01/2026 11/10,Edificio_1,Zona_A,S1,43.65,15.06,21.69,2.93,REAL,0
01/01/2026 11/20,Edificio_1,Zona_A,S1,39.93,13.96,21.02,2.76,REAL,0
01/01/2026 11/30,Edificio_1,Zona_A,S1,40.65,14.07,21.39,3.05,REAL,0
01/01/2026 11/40,Edificio_1,Zona_A,S1,41.5,15.45,20.96,2.76,REAL,0
01/01/2026 11/50,Edificio_1,Zona_A,S1,39.98,14.07,21.07,2.85,REAL,0
01/01/2026 12/00,Edificio_1,Zona_A,S1,39.04,13.53,20.76,2.9,REAL,0
01/01/2026 12/10,Edificio_1,Zona_A,S1,39.38,14.36,20.87,2.8,REAL,0
01/01/2026 12/20,Edificio_1,Zona_A,S1,37.65,14,20.24,2.72,REAL,0
01/01/2026 12/30,Edificio_1,Zona_A,S1,38.63,14,20.59,2.78,REAL,0
01/01/2026 12/40,Edificio_1,Zona_A,S1,40.12,13.42,21.12,2.84,REAL,0
01/01/2026 12/50,Edificio_1,Zona_A,S1,39.65,13.68,20.91,2.88,REAL,0
01/01/2026 13/00,Edificio_1,Zona_A,S1,38.32,13.26,20.43,2.93,REAL,0
01/01/2026 13/10,Edificio_1,Zona_A,S1,38.86,13.3,19.99,3.11,REAL,0
01/01/2026 13/20,Edificio_1,Zona_A,S1,38,14.3,18.91,2.87,REAL,0
01/01/2026 13/30,Edificio_1,Zona_A,S1,36.51,14.03,19.96,2.98,REAL,0
01/01/2026 13/40,Edificio_1,Zona_A,S1,37.53,13.04,19.94,2.93,REAL,0
01/01/2026 13/50,Edificio_1,Zona_A,S1,39.02,13.21,20.08,2.93,REAL,0
01/01/2026 14/00,Edificio_1,Zona_A,S1,37.54,12.52,18.9,2.94,REAL,0
01/01/2026 14/10,Edificio_1,Zona_A,S1,35,13.73,18.73,2.78,REAL,0
01/01/2026 14/20,Edificio_1,Zona_A,S1,36.89,13.34,20.34,2.91,REAL,0
01/01/2026 14/30,Edificio_1,Zona_A,S1,38.37,12.72,20.06,3.04,REAL,0
01/01/2026 14/40,Edificio_1,Zona_A,S1,35.09,13.74,19.15,3.01,REAL,0
01/01/2026 14/50,Edificio_1,Zona_A,S1,37.6,13.02,18.62,2.74,REAL,0
01/01/2026 15/00,Edificio_1,Zona_A,S1,35.5,12.43,18.37,2.75,REAL,0
01/01/2026 15/10,Edificio_1,Zona_A,S1,35.48,12.01,19.42,3.01,REAL,0
01/01/2026 15/20,Edificio_1,Zona_A,S1,35.94,12.49,18.51,2.9,REAL,0
01/01/2026 15/30,Edificio_1,Zona_A,S1,35.49,13.32,18.14,2.91,REAL,0
01/01/2026 15/40,Edificio_1,Zona_A,S1,34.34,12.18,18.33,2.86,REAL,0
01/01/2026 15/50,Edificio_1,Zona_A,S1,36.47,12,18.97,3.03,REAL,0
01/01/2026 16/00,Edificio_1,Zona_A,S1,34.71,12.06,17.41,2.97,REAL,0
01/01/2026 16/10,Edificio_1,Zona_A,S1,35.54,12.09,17.48,2.96,REAL,0
01/01/2026 16/20,Edificio_1,Zona_A,S1,35.87,12.16,18.19,2.78,REAL,0
01/01/2026 16/30,Edificio_1,Zona_A,S1,33.67,13.13,17.25,2.96,REAL,0
01/01/2026 16/40,Edificio_1,Zona_A,S1,34.91,12.8,17.75,2.94,REAL,0
01/01/2026 16/50,Edificio_1,Zona_A,S1,33.6,12.62,18.18,2.73,REAL,0
01/01/2026 17/00,Edificio_1,Zona_A,S1,34.65,11.56,17.45,2.82,REAL,0
01/01/2026 17/10,Edificio_1,Zona_A,S1,36.12,12.56,17.85,3,REAL,0
01/01/2026 17/20,Edificio_1,Zona_A,S1,34.97,11.69,17.41,2.9,REAL,0
01/01/2026 17/30,Edificio_1,Zona_A,S1,33.47,12.57,17.26,2.77,REAL,0
01/01/2026 17/40,Edificio_1,Zona_A,S1,33.87,12.11,17.29,2.97,REAL,0
01/01/2026 17/50,Edificio_1,Zona_A,S1,33.82,12.95,17.71,3.08,REAL,0
01/01/2026 18/00,Edificio_1,Zona_A,S1,33.55,11.86,17.93,2.74,REAL,0
01/01/2026 18/10,Edificio_1,Zona_A,S1,34.66,12.29,17.71,2.77,REAL,0
01/01/2026 18/20,Edificio_1,Zona_A,S1,34.71,12.08,17.59,2.74,REAL,0
01/01/2026 18/30,Edificio_1,Zona_A,S1,34.24,12.32,17.08,3.01,REAL,0
01/01/2026 18/40,Edificio_1,Zona_A,S1,33.85,11.83,17.67,2.86,REAL,0
01/01/2026 18/50,Edificio_1,Zona_A,S1,35.73,12.08,17.53,2.86,REAL,0
01/01/2026 19/00,Edificio_1,Zona_A,S1,33.93,12.75,17.77,3.01,REAL,0
01/01/2026 19/10,Edificio_1,Zona_A,S1,36.03,11.79,17.5,3.05,REAL,0
01/01/2026 19/20,Edificio_1,Zona_A,S1,34.42,12.17,17.22,2.82,REAL,0
01/01/2026 19/30,Edificio_1,Zona_A,S1,34.4,12.39,18.22,2.88,REAL,0
01/01/2026 19/40,Edificio_1,Zona_A,S1,34.74,13.28,17.81,2.95,REAL,0
01/01/2026 19/50,Edificio_1,Zona_A,S1,35.87,11.76,17.41,3.02,REAL,0
01/01/2026 20/00,Edificio_1,Zona_A,S1,36.5,13.15,18.13,2.75,REAL,0
01/01/2026 20/10,Edificio_1,Zona_A,S1,35.61,13.25,18.17,2.93,REAL,0
01/01/2026 20/20,Edificio_1,Zona_A,S1,34.43,12.36,18.01,3.08,REAL,0
01/01/2026 20/30,Edificio_1,Zona_A,S1,35.63,13.17,17.78,3.01,REAL,0
01/01/2026 20/40,Edificio_1,Zona_A,S1,36.02,12.83,18.43,2.95,REAL,0
01/01/2026 20/50,Edificio_1,Zona_A,S1,36.16,11.84,17.94,2.92,REAL,0
01/01/2026 21/00,Edificio_1,Zona_A,S1,34.38,12.94,18.6,2.91,REAL,0
01/01/2026 21/10,Edificio_1,Zona_A,S1,35.65,12.71,18.63,3.06,REAL,0
01/01/2026 21/20,Edificio_1,Zona_A,S1,36.82,12.05,18.28,2.92,REAL,0
01/01/2026 21/30,Edificio_1,Zona_A,S1,37.31,12.53,18.22,2.94,REAL,0
01/01/2026 21/40,Edificio_1,Zona_A,S1,36.18,12.31,17.78,2.68,REAL,0
01/01/2026 21/50,Edificio_1,Zona_A,S1,36.39,12.52,17.86,2.99,REAL,0
01/01/2026 22/00,Edificio_1,Zona_A,S1,36.54,13.16,19.1,2.93,REAL,0
01/01/2026 22/10,Edificio_1,Zona_A,S1,37.12,13.21,19.08,3.01,REAL,0
01/01/2026 22/20,Edificio_1,Zona_A,S1,36.69,13.7,19.22,2.97,REAL,0
01/01/2026 22/30,Edificio_1,Zona_A,S1,36.91,12.64,19.1,2.76,REAL,0
01/01/2026 22/40,Edificio_1,Zona_A,S1,35.2,13.36,18.9,2.66,REAL,0
01/01/2026 22/50,Edificio_1,Zona_A,S1,36.78,12.4,18.64,2.9,REAL,0
01/01/2026 23/00,Edificio_1,Zona_A,S1,37.74,13.12,19.95,2.7,REAL,0
01/01/2026 23/10,Edificio_1,Zona_A,S1,37.41,13.75,20.74,2.97,REAL,0
01/01/2026 23/20,Edificio_1,Zona_A,S1,38.68,13.66,19.88,2.84,REAL,0
01/01/2026 23/30,Edificio_1,Zona_A,S1,40.06,13.12,20.5,2.92,REAL,0
01/01/2026 23/40,Edificio_1,Zona_A,S1,37.67,13.67,19.52,2.85,REAL,0
01/01/2026 23/50,Edificio_1,Zona_A,S1,39.71,13.68,19.83,3.12,REAL,0
02/01/2026 00/00,Edificio_1,Zona_A,S1,39.02,13.15,20.93,2.8,REAL,0
02/01/2026 00/10,Edificio_1,Zona_A,S1,39.5,14.5,20.01,2.75,REAL,0
02/01/2026 00/20,Edificio_1,Zona_A,S1,39.93,13.19,20.54,2.99,REAL,0
02/01/2026 00/30,Edificio_1,Zona_A,S1,39.77,14.11,20.31,2.94,REAL,0
02/01/2026 00/40,Edificio_1,Zona_A,S1,39.82,13.79,20.61,3.02,REAL,0
02/01/2026 00/50,Edificio_1,Zona_A,S1,37.99,14.56,20.44,2.79,REAL,0
02/01/2026 01/00,Edificio_1,Zona_A,S1,41.57,14.25,21.44,2.77,REAL,0
02/01/2026 01/10,Edificio_1,Zona_A,S1,40.25,15.54,21.22,2.87,REAL,0
02/01/2026 01/20,Edificio_1,Zona_A,S1,40.5,14.48,21.27,2.88,REAL,0
02/01/2026 01/30,Edificio_1,Zona_A,S1,40.65,13.5,21.76,2.89,REAL,0
02/01/2026 01/40,Edificio_1,Zona_A,S1,41.57,13.05,21.86,2.94,REAL,0
02/01/2026 01/50,Edificio_1,Zona_A,S1,41.19,13.97,21.95,2.8,REAL,0
02/01/2026 02/00,Edificio_1,Zona_A,S1,42.65,15.23,22.03,2.92,REAL,0
02/01/2026 02/10,Edificio_1,Zona_A,S1,42.89,15.57,22.22,3.01,REAL,0
02/01/2026 02/20,Edificio_1,Zona_A,S1,41.72,15.14,22.27,2.83,REAL,0
02/01/2026 02/30,Edificio_1,Zona_A,S1,42.97,14.37,22,3,REAL,0
02/01/2026 02/40,Edificio_1,Zona_A,S1,41.61,14.99,22.05,2.91,REAL,0
02/01/2026 02/50,Edificio_1,Zona_A,S1,41.14,14.32,21.63,2.69,REAL,0
02/01/2026 03/00,Edificio_1,Zona_A,S1,43.8,15.23,22.4,3.13,REAL,0
02/01/2026 03/10,Edificio_1,Zona_A,S1,43.84,16.61,22.05,2.74,REAL,0
02/01/2026 03/20,Edificio_1,Zona_A,S1,42.92,15.36,23.12,2.93,REAL,0
02/01/2026 03/30,Edificio_1,Zona_A,S1,41.83,14.84,21.9,2.89,REAL,0
02/01/2026 03/40,Edificio_1,Zona_A,S1,41.83,15.28,22.25,3,REAL,0
02/01/2026 03/50,Edificio_1,Zona_A,S1,41.22,15.61,22.44,2.93,REAL,0
02/01/2026 04/00,Edificio_1,Zona_A,S1,43.73,15.98,23.28,2.86,REAL,0
02/01/2026 04/10,Edificio_1,Zona_A,S1,42.37,15.37,22.52,3.08,REAL,0
02/01/2026 04/20,Edificio_1,Zona_A,S1,42.77,16.78,22.88,2.93,REAL,0
02/01/2026 04/30,Edificio_1,Zona_A,S1,43.65,15.64,23.13,2.89,REAL,0
02/01/2026 04/40,Edificio_1,Zona_A,S1,42.81,16.53,23.18,3.16,REAL,0
02/01/2026 04/50,Edificio_1,Zona_A,S1,43.23,15.61,23.5,3.06,REAL,0
02/01/2026 05/00,Edificio_1,Zona_A,S1,44.14,15.53,23.19,2.78,REAL,0
02/01/2026 05/10,Edificio_1,Zona_A,S1,42.12,16.1,23.68,2.98,REAL,0
02/01/2026 05/20,Edificio_1,Zona_A,S1,43.4,15.88,24.36,2.94,REAL,0
02/01/2026 05/30,Edificio_1,Zona_A,S1,44,15.46,23.6,2.76,REAL,0
02/01/2026 05/40,Edificio_1,Zona_A,S1,45.32,15.98,22.97,2.87,REAL,0
02/01/2026 05/50,Edificio_1,Zona_A,S1,44.82,16.39,23.59,2.89,REAL,0
02/01/2026 06/00,Edificio_1,Zona_A,S1,43.18,14.9,22.7,2.95,REAL,0
02/01/2026 06/10,Edificio_1,Zona_A,S1,45.2,15.83,23.66,2.89,REAL,0
02/01/2026 06/20,Edificio_1,Zona_A,S1,44.82,15.53,23.53,2.83,REAL,0
02/01/2026 06/30,Edificio_1,Zona_A,S1,45.67,16.26,23.61,2.98,REAL,0
02/01/2026 06/40,Edificio_1,Zona_A,S1,44.34,16.24,23.32,2.88,REAL,0
02/01/2026 06/50,Edificio_1,Zona_A,S1,43.07,16.28,23.15,2.89,REAL,0
02/01/2026 07/00,Edificio_1,Zona_A,S1,44.26,15.74,23.41,3.05,REAL,0
02/01/2026 07/10,Edificio_1,Zona_A,S1,43.72,16,23.21,2.87,REAL,0
02/01/2026 07/20,Edificio_1,Zona_A,S1,41.56,16.38,23.99,2.75,REAL,0
02/01/2026 07/30,Edificio_1,Zona_A,S1,44.65,16.29,22.93,2.72,REAL,0
02/01/2026 07/40,Edificio_1,Zona_A,S1,42.63,16,23.25,2.94,REAL,0
02/01/2026 07/50,Edificio_1,Zona_A,S1,44.23,15.43,23.51,2.96,REAL,0
02/01/2026 08/00,Edificio_1,Zona_A,S1,43.44,16.57,23,2.81,REAL,0
02/01/2026 08/10,Edificio_1,Zona_A,S1,43,16.62,22.89,3.01,REAL,0
02/01/2026 08/20,Edificio_1,Zona_A,S1,44.35,15.86,24.3,2.84,REAL,0
02/01/2026 08/30,Edificio_1,Zona_A,S1,45.62,15.78,23.45,2.83,REAL,0
02/01/2026 08/40,Edificio_1,Zona_A,S1,44.81,15.38,22.55,2.8,REAL,0
02/01/2026 08/50,Edificio_1,Zona_A,S1,44.61,15.33,23.81,2.97,REAL,0
02/01/2026 09/00,Edificio_1,Zona_A,S1,43.27,16.48,23.41,2.96,REAL,0
02/01/2026 09/10,Edificio_1,Zona_A,S1,44.34,15.65,22.77,2.93,REAL,0
02/01/2026 09/20,Edificio_1,Zona_A,S1,44.87,14.84,22.22,2.7,REAL,0
02/01/2026 09/30,Edificio_1,Zona_A,S1,43.68,15.1,22.9,2.98,REAL,0
02/01/2026 09/40,Edificio_1,Zona_A,S1,43.31,15.76,22.62,3.06,REAL,0
02/01/2026 09/50,Edificio_1,Zona_A,S1,42.29,15.69,22.94,2.84,REAL,0
02/01/2026 10/00,Edificio_1,Zona_A,S1,42.35,14.1,22.24,3.16,REAL,0
02/01/2026 10/10,Edificio_1,Zona_A,S1,41.57,14.55,22.05,2.78,REAL,0
02/01/2026 10/20,Edificio_1,Zona_A,S1,42.98,14.67,21.52,2.95,REAL,0
02/01/2026 10/30,Edificio_1,Zona_A,S1,41.66,15.19,21.73,2.97,REAL,0
02/01/2026 10/40,Edificio_1,Zona_A,S1,42,15.45,22.99,2.86,REAL,0
02/01/2026 10/50,Edificio_1,Zona_A,S1,41.23,16.26,21.36,3.03,REAL,0
02/01/2026 11/00,Edificio_1,Zona_A,S1,41.6,14.79,22.43,3.02,REAL,0
02/01/2026 11/10,Edificio_1,Zona_A,S1,41.27,14.98,21.31,2.86,REAL,0
02/01/2026 11/20,Edificio_1,Zona_A,S1,40.49,14.44,21.04,2.71,REAL,0
02/01/2026 11/30,Edificio_1,Zona_A,S1,41.79,14.79,20.89,3.09,REAL,0
02/01/2026 11/40,Edificio_1,Zona_A,S1,40.09,13.94,22.34,3.06,REAL,0
02/01/2026 11/50,Edificio_1,Zona_A,S1,40.9,14.42,21.47,2.72,REAL,0
02/01/2026 12/00,Edificio_1,Zona_A,S1,38.11,12.54,20.88,2.85,REAL,0
02/01/2026 12/10,Edificio_1,Zona_A,S1,38.68,14.21,21.45,2.86,REAL,0
02/01/2026 12/20,Edificio_1,Zona_A,S1,38.4,13.57,20.57,2.88,REAL,0
02/01/2026 12/30,Edificio_1,Zona_A,S1,39.26,13.61,21.37,2.87,REAL,0
02/01/2026 12/40,Edificio_1,Zona_A,S1,40.02,13.84,19.41,2.99,REAL,0
02/01/2026 12/50,Edificio_1,Zona_A,S1,40.07,13.35,19.84,2.85,REAL,0
02/01/2026 13/00,Edificio_1,Zona_A,S1,37.25,13.06,19.04,3.02,REAL,0
02/01/2026 13/10,Edificio_1,Zona_A,S1,38.16,13.28,20.06,2.97,REAL,0
02/01/2026 13/20,Edificio_1,Zona_A,S1,35.62,12.96,20.06,2.99,REAL,0
02/01/2026 13/30,Edificio_1,Zona_A,S1,37.34,13.06,19.75,3.04,REAL,0
02/01/2026 13/40,Edificio_1,Zona_A,S1,37.69,12.68,20.01,2.88,REAL,0
02/01/2026 13/50,Edificio_1,Zona_A,S1,37.81,15.06,20.29,2.89,REAL,0
02/01/2026 14/00,Edificio_1,Zona_A,S1,37.7,12.65,19.18,2.76,REAL,0
02/01/2026 14/10,Edificio_1,Zona_A,S1,37.26,12.56,19.16,2.99,REAL,0
02/01/2026 14/20,Edificio_1,Zona_A,S1,35.82,13.19,18.95,2.86,REAL,0
02/01/2026 14/30,Edificio_1,Zona_A,S1,36.7,13.21,19.13,3.04,REAL,0
02/01/2026 14/40,Edificio_1,Zona_A,S1,37.97,14.27,19.03,3,REAL,0
02/01/2026 14/50,Edificio_1,Zona_A,S1,36.95,13.64,19.29,2.87,REAL,0
02/01/2026 15/00,Edificio_1,Zona_A,S1,37.04,12.55,17.44,2.84,REAL,0
02/01/2026 15/10,Edificio_1,Zona_A,S1,35.35,12.1,18.38,2.86,REAL,0
02/01/2026 15/20,Edificio_1,Zona_A,S1,36.15,12.55,19,2.86,REAL,0
02/01/2026 15/30,Edificio_1,Zona_A,S1,36.03,12.44,18.27,2.92,REAL,0
02/01/2026 15/40,Edificio_1,Zona_A,S1,34.74,12.23,18.56,3.1,REAL,0
02/01/2026 15/50,Edificio_1,Zona_A,S1,36.38,13.12,18.68,2.95,REAL,0
02/01/2026 16/00,Edificio_1,Zona_A,S1,36.06,12.19,17.96,2.8,REAL,0
02/01/2026 16/10,Edificio_1,Zona_A,S1,35.28,12.34,17.76,2.89,REAL,0
02/01/2026 16/20,Edificio_1,Zona_A,S1,34.01,12.79,18.39,2.96,REAL,0
02/01/2026 16/30,Edificio_1,Zona_A,S1,34.73,12.07,18.21,3.09,REAL,0
02/01/2026 16/40,Edificio_1,Zona_A,S1,35.9,13.1,17.5,2.79,REAL,0
02/01/2026 16/50,Edificio_1,Zona_A,S1,34.02,12.37,18.06,3.02,REAL,0
02/01/2026 17/00,Edificio_1,Zona_A,S1,31.75,12.39,17.82,3,REAL,0
02/01/2026 17/10,Edificio_1,Zona_A,S1,36.06,12.71,17.66,3,REAL,0
02/01/2026 17/20,Edificio_1,Zona_A,S1,36.62,11.96,17.6,2.82,REAL,0
02/01/2026 17/30,Edificio_1,Zona_A,S1,33.71,11.39,17.41,2.92,REAL,0
02/01/2026 17/40,Edificio_1,Zona_A,S1,32.95,12.43,17.02,2.89,REAL,0
02/01/2026 17/50,Edificio_1,Zona_A,S1,34.77,12.72,17.57,2.83,REAL,0
02/01/2026 18/00,Edificio_1,Zona_A,S1,33.96,11.58,17.73,2.83,REAL,0
02/01/2026 18/10,Edificio_1,Zona_A,S1,32.48,11.19,17.27,2.75,REAL,0
02/01/2026 18/20,Edificio_1,Zona_A,S1,35.89,12.43,17.38,2.92,REAL,0
02/01/2026 18/30,Edificio_1,Zona_A,S1,34.15,12.02,17.52,2.8,REAL,0
02/01/2026 18/40,Edificio_1,Zona_A,S1,34.18,11.99,17.08,3.04,REAL,0
02/01/2026 18/50,Edificio_1,Zona_A,S1,33.14,12.03,17.32,2.94,REAL,0
02/01/2026 19/00,Edificio_1,Zona_A,S1,34.61,11.53,17.45,2.91,REAL,0
02/01/2026 19/10,Edificio_1,Zona_A,S1,33.26,12.51,17.4,3.08,REAL,0
02/01/2026 19/20,Edificio_1,Zona_A,S1,34.32,12.45,17.87,2.93,REAL,0
02/01/2026 19/30,Edificio_1,Zona_A,S1,33.36,11.84,18.24,3.01,REAL,0
02/01/2026 19/40,Edificio_1,Zona_A,S1,33.89,11.94,18.38,3.04,REAL,0
02/01/2026 19/50,Edificio_1,Zona_A,S1,34.42,12.19,17.11,2.84,REAL,0
02/01/2026 20/00,Edificio_1,Zona_A,S1,34.51,12.19,18.3,2.9,REAL,0
02/01/2026 20/10,Edificio_1,Zona_A,S1,35.51,12.1,17.89,3.06,REAL,0
02/01/2026 20/20,Edificio_1,Zona_A,S1,34.84,12.47,18.61,2.94,REAL,0
02/01/2026 20/30,Edificio_1,Zona_A,S1,35.59,12.5,18.89,3.12,REAL,0
02/01/2026 20/40,Edificio_1,Zona_A,S1,32.97,12.62,17.94,2.85,REAL,0
02/01/2026 20/50,Edificio_1,Zona_A,S1,36.05,13.23,16.76,2.87,REAL,0
02/01/2026 21/00,Edificio_1,Zona_A,S1,36,12.8,19.82,2.75,REAL,0
02/01/2026 21/10,Edificio_1,Zona_A,S1,36.37,12.38,18.64,2.87,REAL,0
02/01/2026 21/20,Edificio_1,Zona_A,S1,33.97,13.2,19.06,2.9,REAL,0
02/01/2026 21/30,Edificio_1,Zona_A,S1,36.8,12.68,17.43,3.22,REAL,0
02/01/2026 21/40,Edificio_1,Zona_A,S1,35.55,12.49,18.78,2.91,REAL,0
02/01/2026 21/50,Edificio_1,Zona_A,S1,36.4,12.66,18.8,2.61,REAL,0
02/01/2026 22/00,Edificio_1,Zona_A,S1,35.81,12.29,18.74,2.94,REAL,0
02/01/2026 22/10,Edificio_1,Zona_A,S1,37.5,13.24,19.6,2.95,REAL,0
02/01/2026 22/20,Edificio_1,Zona_A,S1,37.13,13.51,19.72,2.97,REAL,0
02/01/2026 22/30,Edificio_1,Zona_A,S1,35.99,12.83,18.78,2.89,REAL,0
02/01/2026 22/40,Edificio_1,Zona_A,S1,36.78,12.57,18.17,2.92,REAL,0
02/01/2026 22/50,Edificio_1,Zona_A,S1,36.01,12.51,18.32,2.83,REAL,0
02/01/2026 23/00,Edificio_1,Zona_A,S1,38.62,12.84,19.71,2.7,REAL,0
02/01/2026 23/10,Edificio_1,Zona_A,S1,39.79,14.08,18.34,2.92,REAL,0
